U,D
60.32033085823059,46.11750364303589
60.32033085823059,46.102906465530396
60.32033085823059,46.15852355957031
61.60093069076538,46.113760471343994
78.58088731765747,46.113760471343994
60.32033085823059,45.58807134628296
60.32033085823059,45.55578947067261
81.24714612960815,45.482261180877686
93.71394038200378,45.482261180877686
72.86944508552551,45.482261180877686
53.94190073013306,45.482261180877686
60.32033085823059,45.52084922790527
60.32033085823059,45.55956840515137
49.67352867126465,45.482261180877686
60.32033085823059,45.47629475593567
36.781070828437805,45.482261180877686
60.32033085823059,45.51693320274353
60.32033085823059,45.501132011413574
87.7159070968628,45.482261180877686
62.56995916366577,45.482261180877686
70.41351318359375,45.482261180877686
88.65004301071167,45.482261180877686
60.32033085823059,45.517427921295166
63.59089732170105,45.482261180877686
60.32033085823059,45.56065320968628
67.58464097976685,45.482261180877686
49.18707728385925,45.482261180877686
82.23628520965576,45.482261180877686
60.32033085823059,45.451427698135376
76.38160109519958,45.482261180877686
60.32033085823059,45.49288272857666
60.32033085823059,45.475239753723145
60.32033085823059,45.47805905342102
89.69978213310242,45.482261180877686
86.16678833961487,45.482261180877686
72.90434956550598,45.482261180877686
92.19976782798767,45.482261180877686
58.6107861995697,45.482261180877686
60.32033085823059,45.54340958595276
60.32033085823059,45.526463985443115
76.55375719070435,45.482261180877686
60.32033085823059,45.51412582397461
60.32033085823059,45.50660967826843
60.32033085823059,45.485098361968994
61.33472442626953,45.482261180877686
60.32033085823059,45.538039207458496
64.08820271492004,45.482261180877686
69.70387816429138,45.482261180877686
74.40150499343872,45.482261180877686
60.32033085823059,45.57395696640015
60.32033085823059,45.3948450088501
60.32033085823059,45.536781549453735
72.48870253562927,45.482261180877686
80.30948758125305,45.482261180877686
60.32033085823059,45.55683255195618
60.32033085823059,45.385117530822754
91.2470293045044,45.482261180877686
46.16620063781738,45.482261180877686
94.83305335044861,45.482261180877686
60.32033085823059,45.4882276058197
34.46537375450134,45.482261180877686
60.32033085823059,45.510793924331665
60.32033085823059,45.5395233631134
51.684714555740356,45.482261180877686
74.85084652900696,45.482261180877686
71.97740197181702,45.482261180877686
69.45387840270996,45.482261180877686
40.66898047924042,45.482261180877686
84.57177400588989,45.482261180877686
67.71289229393005,45.482261180877686
40.28227150440216,45.482261180877686
60.32033085823059,45.56967735290527
60.32033085823059,45.49155354499817
93.38374257087708,45.482261180877686
60.32033085823059,45.47730207443237
60.32033085823059,45.50262212753296
35.98632037639618,45.482261180877686
62.0093297958374,45.482261180877686
60.32033085823059,45.48869252204895
33.23556900024414,45.482261180877686
47.55964994430542,45.482261180877686
61.41704440116882,45.482261180877686
45.45894384384155,45.482261180877686
35.521058440208435,45.482261180877686
60.32033085823059,45.591444969177246
60.32033085823059,45.503009557724
60.32033085823059,45.596654415130615
60.32033085823059,45.49493908882141
60.32033085823059,45.5576491355896
60.32033085823059,45.490713119506836
65.74769139289856,45.482261180877686
44.93937313556671,45.482261180877686
37.50419735908508,45.482261180877686
60.32033085823059,45.52790641784668
60.32033085823059,45.541526079177856
60.32033085823059,45.57767629623413
52.91850686073303,45.482261180877686
31.142581701278687,45.482261180877686
76.86479210853577,45.482261180877686
60.32033085823059,45.49406290054321
62.37024188041687,45.482261180877686
60.32033085823059,45.57252049446106
60.32033085823059,45.50538778305054
60.32033085823059,45.41804313659668
60.32033085823059,45.59346556663513
94.83007311820984,45.482261180877686
93.0542778968811,45.482261180877686
60.32033085823059,45.51141381263733
60.653836727142334,45.482261180877686
56.50909662246704,45.482261180877686
60.32033085823059,45.5506694316864
70.71877241134644,45.482261180877686
60.32033085823059,45.54241418838501
59.904093742370605,45.482261180877686
60.32033085823059,45.5834698677063
71.6097903251648,45.482261180877686
44.23119246959686,45.482261180877686
60.32033085823059,45.551486015319824
94.43363070487976,45.482261180877686
66.57069444656372,45.482261180877686
60.584903955459595,45.482261180877686
42.591957449913025,45.482261180877686
60.32033085823059,45.560396909713745
60.32033085823059,45.444138050079346
83.37406039237976,45.482261180877686
60.32033085823059,45.55112838745117
60.32033085823059,45.51164627075195
60.32033085823059,45.46076774597168
62.83888339996338,45.482261180877686
35.55056869983673,45.482261180877686
60.32033085823059,45.463926792144775
60.32033085823059,45.53827166557312
60.32033085823059,45.48461556434631
77.34849572181702,45.482261180877686
41.898871660232544,45.482261180877686
60.32033085823059,45.50869584083557
60.32033085823059,45.54427981376648
39.17966306209564,45.482261180877686
60.32033085823059,45.56620240211487
60.32033085823059,45.534188747406006
66.94347977638245,45.482261180877686
60.32033085823059,45.513505935668945
60.32033085823059,45.50349831581116
60.32033085823059,45.58090090751648
49.63249087333679,45.482261180877686
60.32033085823059,45.508058071136475
60.32033085823059,45.44870376586914
94.44737553596497,45.482261180877686
60.32033085823059,45.488799810409546
60.32033085823059,45.53136348724365
60.32033085823059,45.59862732887268
92.62313961982727,45.482261180877686
60.32033085823059,45.477224588394165
37.280739545822144,45.482261180877686
60.32033085823059,45.48084855079651
62.22017526626587,45.482261180877686
60.32033085823059,45.56273341178894
89.13356184959412,45.482261180877686
60.32033085823059,45.50831437110901
85.8515989780426,45.482261180877686
41.04786038398743,45.482261180877686
61.972917318344116,45.482261180877686
60.32033085823059,45.56152939796448
60.32033085823059,45.56560039520264
60.32033085823059,45.530457496643066
60.32033085823059,45.55163502693176
60.32033085823059,45.56958794593811
60.32033085823059,45.50959587097168
60.32033085823059,45.45509934425354
60.32033085823059,45.510090589523315
60.32033085823059,45.49448013305664
60.32033085823059,45.53633451461792
60.32033085823059,45.474780797958374
61.66724681854248,45.482261180877686
40.731380581855774,45.482261180877686
83.08826208114624,45.482261180877686
91.88058495521545,45.482261180877686
59.551734924316406,45.482261180877686
44.72009360790253,45.482261180877686
79.56065654754639,45.482261180877686
82.44624257087708,45.482261180877686
72.28598713874817,45.482261180877686
56.235737800598145,45.482261180877686
60.32033085823059,45.572651624679565
60.32033085823059,45.478595495224
75.95536828041077,45.482261180877686
47.47397422790527,45.482261180877686
60.32033085823059,45.536710023880005
77.6184630393982,45.482261180877686
60.32033085823059,45.59703588485718
94.94456171989441,45.482261180877686
92.71248698234558,45.482261180877686
38.51430535316467,45.482261180877686
36.881000995635986,45.482261180877686
65.80330848693848,45.482261180877686
60.32033085823059,45.46238899230957
60.32033085823059,45.48912167549133
40.17664909362793,45.482261180877686
60.32033085823059,45.49537420272827
60.32033085823059,45.50641894340515
91.83954119682312,45.482261180877686
69.05996918678284,45.482261180877686
87.01586842536926,45.482261180877686
73.557950258255,45.482261180877686
60.32033085823059,45.45122504234314
94.99698400497437,45.482261180877686
60.32033085823059,45.513648986816406
60.32033085823059,45.55920481681824
60.32033085823059,45.54612159729004
59.9470329284668,45.482261180877686
68.62541556358337,45.482261180877686
60.32033085823059,45.501424074172974
55.161834955215454,45.482261180877686
51.09667897224426,45.482261180877686
60.32033085823059,45.45230984687805
77.51041769981384,45.482261180877686
75.89838027954102,45.482261180877686
67.97413945198059,45.482261180877686
60.32033085823059,45.475722551345825
60.32033085823059,45.49905776977539
91.09734416007996,45.482261180877686
75.6414783000946,45.482261180877686
60.32033085823059,45.530922412872314
60.32033085823059,45.51655173301697
